,Temperature
"06/07/2025, 08:54",27.8
"06/07/2025, 08:34",27.8
"06/07/2025, 08:14",27.8
"06/07/2025, 07:54",27.8
"06/07/2025, 07:33",27.8
"06/07/2025, 07:13",27.8
"06/07/2025, 06:53",27.8
"06/07/2025, 06:33",27.9
"06/07/2025, 06:13",27.9
"06/07/2025, 05:53",27.9
"06/07/2025, 05:33",27.9
"06/07/2025, 05:12",28.0
"06/07/2025, 04:52",28.0
"06/07/2025, 04:32",28.0
"06/07/2025, 04:12",28.0
"06/07/2025, 03:52",28.1
"06/07/2025, 03:32",28.1
"06/07/2025, 03:11",28.1
"06/07/2025, 02:51",28.2
"06/07/2025, 02:31",28.2
"06/07/2025, 02:11",28.2
"06/07/2025, 01:51",28.2
"06/07/2025, 01:31",28.3
"06/07/2025, 01:10",28.3
"06/07/2025, 00:50",28.3
"06/07/2025, 00:30",28.3
"06/07/2025, 00:10",28.4
"05/07/2025, 23:50",28.4
"05/07/2025, 23:30",28.4
"05/07/2025, 23:09",28.4
"05/07/2025, 22:49",28.4
"05/07/2025, 22:29",28.4
"05/07/2025, 22:09",28.4
"05/07/2025, 21:49",28.4
"05/07/2025, 21:29",28.4
"05/07/2025, 21:09",28.5
"05/07/2025, 20:48",28.5
"05/07/2025, 20:28",28.5
"05/07/2025, 20:08",28.5
"05/07/2025, 19:48",28.5
"05/07/2025, 19:28",28.5
"05/07/2025, 19:08",28.5
"05/07/2025, 18:47",28.6
"05/07/2025, 18:27",28.6
"05/07/2025, 18:07",28.6
"05/07/2025, 17:47",28.6
"05/07/2025, 17:27",28.6
"05/07/2025, 17:07",28.6
"05/07/2025, 16:46",28.5
"05/07/2025, 16:26",28.5
"05/07/2025, 16:06",28.5
"05/07/2025, 15:46",28.5
"05/07/2025, 15:26",28.5
"05/07/2025, 15:06",28.4
